Devices;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Type;OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;IP;USB Type;SD Card;SIM
smartphone;Cyanogen;OnePlus;OnePlus One;5.5'';Gorilla Glass 3 , JDI IPS , Touch On Lens;1080 x 1920 px = Full HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330;proximity , light , accelerometer , compass, gyroscope, Bluetooth, NFC, GPS;3100 mAh , Li-Polymer;16 GB , 64 GB;3 GB;Sony Exmor IMX214    CMOS    4.69 x 3.52 mm    1.115 µm    f/2.0    13 MP    (back) , 4.92 MP    (front);152.9 x 75.9 x 8.9 mm;162 g;no;micro-B;no;micro
smartphone;OxygenOS;OnePlus;OnePlus 2;5.5''; 401 PPI , Incell IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3300 mAh , Li-Polymer;16 GB , 64 GB;4 GB;OmniVision OV13860   PureCel    5.55 x 4.8 mm    1.335 µm    f/2.0    13 MP    (back) , 4.92 MP    (front);151.8 x 74.9 x 9.85 mm;175 g;no;C;no;nano , nano
smartphone;OxygenOS;OnePlus;OnePlus 3;5.5'';Corning Gorilla Glass 4 , 401 PPI , Optic AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3000 mAh , Li-Polymer;64 GB;6 GB;Sony Exmor IMX 298   CMOS    5.22 x 3.92 mm    1.132 µm    f/2.0    16 MP    (back) ,  7.99 MP    (front);152.7 x 74.7 x 7.35 mm;158 g;no;C;no;nano , nano
smartphone;OxygenOS;OnePlus;OnePlus 3T;5.5'';Corning Gorilla Glass 4 , 401 PPI , Optic AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3400 mAh , Li-Polymer;64 GB;6 GB;Sony Exmor IMX 298   CMOS    5.22 x 3.92 mm    1.132 µm    f/2.0    16 MP    (back) ,  15,87 MP    (front);152.7 x 74.7 x 7.35 mm;158 g;no;C;no;nano , nano
smartphone;Android;Huawei;Nexus 6P;5.7'';Corning Gorilla Glass 4, AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3450 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;3 GB;Sony Exmor IMX337R    CMOS BSI    6.25x4.65 mm    1.55 µm    f/2.0    12.3 MP    (back) , 7.99 MP    (front);159.3 x 77.8 x 7.3 mm;178 g;no;C;no;nano
smartphone;Android;LG;Nexus 5X;5.2'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 808;Qualcomm Adreno 418;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3700 mAh , Li-Polymer;16 GB , 32 GB;2 GB;Sony Exmor IMX377 R    CMOS BSI    6.25x4.65 mm    1.55 µm    f/2.0    12.9 MP    (back) , 4.92 MP     (front);147 x 72.6 x 7.9 mm;136 g;no;C;no;nano
smartphone;Android;Samsung;Galaxy S6;5.1'';Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 7420;ARM Mali-T760 MP8;heart sensor, Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;2550 mAh , Li-Ion;32 GB , 64 GB , 128 GB;3 GB;Sony IMX240 RS Exmor    CMOS    f/1.9    5.95mm x 3.35 mm    1.12 µm    15.87 MP    (back) , 8.29 MP    (front);143.4 x 70.5 x 6.8 mm;138 g;no;2.0 , micro-B;no;nano
smartphone;Android;Samsung;Galaxy S7 Edge;5.5'';Corning Gorilla Glass 4 , Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 8890;ARM Mali-T880 MP12;heart rate , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3600 mAh , Li-Ion;32 GB , 64 GB , 128 GB;4 GB;Sony Exmor IMX260 RS    CMOS   f/1.7    12.19 MP    (back) , 5.04 MP     (front);150.9 x 72.6 x 7.7 mm;157 g;IP68 (dust max, water : 1 m during 30 min);micro-B;microSD;nano
smartphone;Android;Samsung;Galaxy S7;5.1'';Corning Gorilla Glass 4 , Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 8890;ARM Mali-T880 MP12;heart rate , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 5.04 MP    (front);142.4 x 69.6 x 7.9 mm;152 g;IP68 (dust max, water : 1 m during 30 min);micro-B;microSD;nano
smartphone;Android;Samsung;Galaxy Note 7;5.7'';Gorilla Glass 5 , Super AMOLED;Quad HD;Samsung Exynos 8890;?;iris scanner , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3500 mAh;?;4 GO;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 5.04 MP    (front);153.5 x 73.9 x 7.9 mm;168 g;IP68 (dust max, water : 1 m during 30 min);C;?;?
